Team 2: DNB,Sources:,https://portal.dnb.de/opac/moveDown?currentResultId=Sprengel+and+Museum%26any&categoryId=books ,https://wikibase.wbworkshop.tibwiki.io/ ,https://github.com/NFDI4Culture/linked-open-exhibition/blob/main/catalogues/sprengel_exhibitions.csv,,,Schemas,,,,
Activity #1: Collecting data and bottom up data modeling,,,,,,,Activity #2: Top down data modeling validation,,,,
Exhibition Catalogue,https://wikibase.wbworkshop.tibwiki.io/wiki/Item:Q371 ,,,,,,,,,,
Concept,,Wikidata: Property (P) and Item (Q),Data type,URI,Instructions for use,,Name,Wikibase4Research  ,CIDOC CRM (Full),Wikidata,Book Project
DE,EN,,,,,,URL,https://gitlab.com/nfdi4culture/wikibase4research/auxiliary-service-repositories/wikibase-model/-/blob/main/README.md#event,https://cidoc-crm.org/html/cidoc_crm_v7.1.3.html  ,https://www.wikidata.org/wiki/Wikidata:Main_Page ,https://www.wikidata.org/wiki/Wikidata:WikiProject_Books 
Instanziierung (?) ist eine... ,instance of,P31,Item,https://www.wikidata.org/wiki/Property:P31,catalogue (Q2352616),,,https://gitlab.com/nfdi4culture/wikibase4research/model/instance_of,,https://www.wikidata.org/wiki/Property:P31,
Titel,title,P1476,Monolingual text,https://www.wikidata.org/wiki/Property:P1476,"The official title of the catalogue (e.g., Vermeer and the Masters of Genre Painting)",,,https://gitlab.com/nfdi4culture/wikibase4research/model/title,http://www.cidoc-crm.org/cidoc-crm/E35_Title,https://www.wikidata.org/wiki/Property:P1476,
Autor,author,P50   ,Item,https://www.wikidata.org/wiki/Property:P50,The main curator or art historian (item link),,,https://gitlab.com/nfdi4culture/wikibase4research/model/author,http://www.cidoc-crm.org/cidoc-crm/E39_Actor,https://www.wikidata.org/wiki/Property:P50,
Verleger,publisher,P123,Item,https://www.wikidata.org/wiki/Property:P123,"The museum or publishing house (e.g., Louvre Museum)",,,https://gitlab.com/nfdi4culture/wikibase4research/model/publisher,http://www.cidoc-crm.org/cidoc-crm/E39_Actor  ,https://www.wikidata.org/wiki/Property:P123,
Erscheinungsdatum,publication date,P577,Item,https://www.wikidata.org/wiki/Property:P577 ,"Year of release (e.g., 2024)",,,https://gitlab.com/nfdi4culture/wikibase4research/model/publication_date,http://www.cidoc-crm.org/cidoc-crm/E52_Time-Span      ,https://www.wikidata.org/wiki/Property:P577 ,
Internationale Standardbuchnummer/ ISB-Nummer ,ISBN-13,P212,External Identifier,https://www.wikidata.org/wiki/Property:P212,The 13-digit standard book identifier,,,ISBN Not found,http://www.cidoc-crm.org/cidoc-crm/E42_Identifier  ,https://www.wikidata.org/wiki/Property:P212,
GND-Kennung,GND,P227,External Identifier,https://www.wikidata.org/wiki/Property:P227,ID,,,https://gitlab.com/nfdi4culture/wikibase4research/model/gnd,http://www.cidoc-crm.org/cidoc-crm/E42_Identifier  ,https://www.wikidata.org/wiki/Property:P227,
offizielle Webseite,described at URL,P973,URL,https://www.wikidata.org/wiki/Property:P973,A link to the catalogue's page on the museum’s website,,,https://gitlab.com/nfdi4culture/wikibase4research/model/reference_url  ,http://www.cidoc-crm.org/cidoc-crm/E42_Identifier  ,https://www.wikidata.org/wiki/Property:P973,
Bild,image,P18,Commons media file,https://www.wikidata.org/wiki/Property:P18,Artwork of the catalogue,,,https://gitlab.com/nfdi4culture/wikibase4research/model/digital_object,http://www.cidoc-crm.org/cidoc-crm/E36_Visual_Item,https://www.wikidata.org/wiki/Property:P18,
