Artist,Example: https://www.wikidata.org/wiki/Q234109  ,,,,,,,Schemas,,,
,,,,,Instructions for use,,,,,,
Concept,,Wikidata: Property (P) and Item (Q),Data type,URI,Add,Note,,,Wikibase4Research  ,CIDOC CRM (Full),Wikidata:WikiProject Exhibitions
DE,EN,,,,person,Add item,,,,,
Entität,Entity,Q5 (human),Item,https://www.wikidata.org/wiki/Q5,item,Add item,,crm:E21_Person,https://www.wikidata.org/wiki/Q5,https://cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E21,P31:Q5 (instance of human)
Vorname,Given name,P735 (given name),Item,https://www.wikidata.org/wiki/Property:P735,item,Add item,,crm:P1_is_identified_by (E82_Appellation),https://www.wikidata.org/wiki/Property:P735,https://cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P1,P735 (given name) - recommended for exhibitions
Nachname,Family name,P734 (family name),Item,https://www.wikidata.org/wiki/Property:P734,item,Add item,,crm:P1_is_identified_by (E82_Appellation),https://www.wikidata.org/wiki/Property:P734,https://cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P1,P734 (family name) - recommended for exhibitions
Beruf,Profession,P106 (occupation),Item,https://www.wikidata.org/wiki/Property:P106,item,Add item,,crm:P2_has_type (E55_Type),https://www.wikidata.org/wiki/Property:P106,https://cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P2,P106 (occupation) - use specific art/exhibition roles
Geburtsdatum,Birth,P569 (date of birth),Date,https://www.wikidata.org/wiki/Property:P569,Date,YYYY-MM-DD,,crm:P82_at_some_time_within (E52_Time-Span),https://www.wikidata.org/wiki/Property:P569,https://cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P82,P569 (date of birth) - format: YYYY-MM-DD or YYYY
Sterbedatum,Death,P570 (date of death),Date,https://www.wikidata.org/wiki/Property:P570,Date,YYYY-MM-DD,,crm:P82_at_some_time_within (E52_Time-Span),https://www.wikidata.org/wiki/Property:P570,https://cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P82,P570 (date of death) - format: YYYY-MM-DD or YYYY
Nationalität,Nationality,P27 (citizenship),Item,https://www.wikidata.org/wiki/Property:P27,item,Add item,,crm:P2_has_type (E55_Type_Nationality),https://www.wikidata.org/wiki/Property:P27,https://cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P2,P27 (citizenship) - link to country item
Referenz,Reference,QID (The URI itself),Item,https://www.wikidata.org/wiki/QID,URI,The URI itself,,crm:P1_is_identified_by (E42_Identifier),https://www.wikidata.org/wiki/QID,https://cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P1,Use Q-identifiers; also add P227 (GND) and P245 (Getty ULAN)
Commons category,Commons category,P373 search name,String,https://www.wikidata.org/wiki/Property:P373,String ,Commons category,,not found,https://www.wikidata.org/wiki/Property:P373,https://cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E78,P373 (Commons category) - for related media/images
